,Discharge Date,value,y_pred
0,2015-01-15,36.0,
1,2015-01-16,39.0,
2,2015-01-17,37.0,
3,2015-01-18,50.0,
4,2015-01-19,52.0,
5,2015-01-20,40.0,
6,2015-01-21,42.0,
7,2015-01-22,49.0,
8,2015-01-23,45.0,
9,2015-01-24,59.0,
10,2015-01-25,64.0,
11,2015-01-26,62.0,
12,2015-01-27,63.0,
13,2015-01-28,54.0,
14,2015-01-29,65.0,
15,2015-01-30,75.0,
16,2015-01-31,83.0,
17,2015-02-01,72.0,
18,2015-02-02,70.0,
19,2015-02-03,86.0,
20,2015-02-04,87.0,
21,2015-02-05,67.0,
22,2015-02-06,75.0,
23,2015-02-07,76.0,
24,2015-02-08,75.0,
25,2015-02-09,83.0,
26,2015-02-10,70.0,
27,2015-02-11,76.0,
28,2015-02-12,71.0,
29,2015-02-13,93.0,
30,2015-02-14,75.0,
31,2015-02-15,84.0,
32,2015-02-16,87.0,
33,2015-02-17,93.0,
34,2015-02-18,80.0,
35,2015-02-19,84.0,
36,2015-02-20,83.0,
37,2015-02-21,76.0,
38,2015-02-22,72.0,
39,2015-02-23,76.0,
40,2015-02-24,67.0,
41,2015-02-25,93.0,
42,2015-02-26,85.0,
43,2015-02-27,91.0,
44,2015-02-28,81.0,
45,2015-03-01,90.0,
46,2015-03-02,81.0,
47,2015-03-03,85.0,
48,2015-03-04,95.0,
49,2015-03-05,79.0,
50,2015-03-06,84.0,
51,2015-03-07,85.0,
52,2015-03-08,99.0,
53,2015-03-09,100.0,
54,2015-03-10,90.0,
55,2015-03-11,82.0,
56,2015-03-12,100.0,
57,2015-03-13,108.0,
58,2015-03-14,97.0,
59,2015-03-15,101.0,
60,2015-03-16,97.0,
61,2015-03-17,118.0,
62,2015-03-18,96.0,
63,2015-03-19,109.0,
64,2015-03-20,105.0,
65,2015-03-21,111.0,
66,2015-03-22,120.0,
67,2015-03-23,118.0,
68,2015-03-24,108.0,
69,2015-03-25,104.0,
70,2015-03-26,126.0,
71,2015-03-27,123.0,
72,2015-03-28,107.0,
73,2015-03-29,129.0,
74,2015-03-30,114.0,
75,2015-03-31,121.0,
76,2015-04-01,135.0,
77,2015-04-02,122.0,
78,2015-04-03,126.0,
79,2015-04-04,127.0,
80,2015-04-05,106.0,
81,2015-04-06,104.0,
82,2015-04-07,116.0,
83,2015-04-08,129.0,
84,2015-04-09,114.0,
85,2015-04-10,119.0,
86,2015-04-11,135.0,
87,2015-04-12,130.0,
88,2015-04-13,114.0,
89,2015-04-14,112.0,
90,2015-04-15,121.0,
91,2015-04-16,135.0,
92,2015-04-17,101.0,
93,2015-04-18,119.0,
94,2015-04-19,111.0,
95,2015-04-20,110.0,
96,2015-04-21,118.0,
