,Date,Forecasted Discharge Count
1795,2024-01-01,14
1796,2024-01-02,22
1797,2024-01-03,19
1798,2024-01-04,17
1799,2024-01-05,20
1800,2024-01-06,27
1801,2024-01-07,28
1802,2024-01-08,8
1803,2024-01-09,24
1804,2024-01-10,21
1805,2024-01-11,15
1806,2024-01-12,11
1807,2024-01-13,15
1808,2024-01-14,26
1809,2024-01-15,20
1810,2024-01-16,20
1811,2024-01-17,22
1812,2024-01-18,33
1813,2024-01-19,36
1814,2024-01-20,6
1815,2024-01-21,29
1816,2024-01-22,24
1817,2024-01-23,12
1818,2024-01-24,8
1819,2024-01-25,15
1820,2024-01-26,31
1821,2024-01-27,20
1822,2024-01-28,23
1823,2024-01-29,25
1824,2024-01-30,38
1825,2024-01-31,44
1826,2024-02-01,6
1827,2024-02-02,37
1828,2024-02-03,30
1829,2024-02-04,14
1830,2024-02-05,8
1831,2024-02-06,19
1832,2024-02-07,38
1833,2024-02-08,23
1834,2024-02-09,29
1835,2024-02-10,29
1836,2024-02-11,47
1837,2024-02-12,54
1838,2024-02-13,7
1839,2024-02-14,46
1840,2024-02-15,34
1841,2024-02-16,15
1842,2024-02-17,8
1843,2024-02-18,21
1844,2024-02-19,46
1845,2024-02-20,28
1846,2024-02-21,34
1847,2024-02-22,35
1848,2024-02-23,55
1849,2024-02-24,65
1850,2024-02-25,10
1851,2024-02-26,56
1852,2024-02-27,43
1853,2024-02-28,19
1854,2024-02-29,10
1855,2024-03-01,28
1856,2024-03-02,55
1857,2024-03-03,33
1858,2024-03-04,43
1859,2024-03-05,42
1860,2024-03-06,67
1861,2024-03-07,78
1862,2024-03-08,13
1863,2024-03-09,68
1864,2024-03-10,50
1865,2024-03-11,24
1866,2024-03-12,14
1867,2024-03-13,34
1868,2024-03-14,67
1869,2024-03-15,40
1870,2024-03-16,51
1871,2024-03-17,51
1872,2024-03-18,77
1873,2024-03-19,93
1874,2024-03-20,18
1875,2024-03-21,81
1876,2024-03-22,61
1877,2024-03-23,29
1878,2024-03-24,18
1879,2024-03-25,42
1880,2024-03-26,78
1881,2024-03-27,48
1882,2024-03-28,62
1883,2024-03-29,60
1884,2024-03-30,92
1885,2024-03-31,108
